Year	Mean	SD
1850	3.3064575956836957	2.133354778047459
1860	3.1072922962480822	1.9982633005893378
1870	2.9738621331634905	1.936309995348909
1880	3.0150104658398758	1.9460443738805318
1900	2.874792962606022	1.9134008688635014
1910	2.7247836083310792	1.8493925196890206
1920	2.631900848402243	1.8039326991494533
1930	2.4929435830862356	1.7272406465769148
1940	2.346670151502506	1.7001329994765308
1950	2.4485530636484314	1.6771720861384245
1960	2.272312029640304	1.4290913244772359
1970	2.2990323029743167	1.4279776226138237
1980	1.9977102178375992	1.1173381446683759
1990	1.8650380980411394	0.9953734588835467
2000	1.8493172230358148	0.9897511419461416
2006	1.8132797680640838	0.9573402695550656
2011	1.8028362103619502	0.9786910617652734
2016	1.791323463935886	0.9750091518784392
2021	1.7805667262821638	0.9735797050001264
